2016-03-20 11:18:48 status unpacked libkmod2:armhf 22-1
2016-03-20 11:18:48 install liblocale-gettext-perl:armhf <none> 1.07-1+b1
2016-03-20 11:18:48 status half-installed liblocale-gettext-perl:armhf 1.07-1+b1
2016-03-20 11:18:48 status unpacked liblocale-gettext-perl:armhf 1.07-1+b1
2016-03-20 11:18:48 status unpacked liblocale-gettext-perl:armhf 1.07-1+b1
2016-03-20 11:18:49 install liblzma5:armhf <none> 5.1.1alpha+20120614-2.1
2016-03-20 11:18:49 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2.1
2016-03-20 11:18:49 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2.1
2016-03-20 11:18:49 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2.1
2016-03-20 11:18:49 install libmount1:armhf <none> 2.27.1-5kali1
2016-03-20 11:18:49 status half-installed libmount1:armhf 2.27.1-5kali1
2016-03-20 11:18:49 status unpacked libmount1:armhf 2.27.1-5kali1
2016-03-20 11:18:49 status unpacked libmount1:armhf 2.27.1-5kali1
2016-03-20 11:18:49 install libncurses5:armhf <none> 6.0+20160213-1
2016-03-20 11:18:49 status half-installed libncurses5:armhf 6.0+20160213-1
2016-03-20 11:18:50 status unpacked libncurses5:armhf 6.0+20160213-1
2016-03-20 11:18:50 status unpacked libncurses5:armhf 6.0+20160213-1
2016-03-20 11:18:50 install libncursesw5:armhf <none> 6.0+20160213-1
2016-03-20 11:18:50 status half-installed libncursesw5:armhf 6.0+20160213-1
2016-03-20 11:18:50 status unpacked libncursesw5:armhf 6.0+20160213-1
2016-03-20 11:18:50 status unpacked libncursesw5:armhf 6.0+20160213-1
2016-03-20 11:18:50 install libpam-modules:armhf <none> 1.1.8-3.2
2016-03-20 11:18:50 status half-installed libpam-modules:armhf 1.1.8-3.2
2016-03-20 11:18:53 status unpacked libpam-modules:armhf 1.1.8-3.2
2016-03-20 11:18:53 status unpacked libpam-modules:armhf 1.1.8-3.2
2016-03-20 11:18:53 install libpam-modules-bin:armhf <none> 1.1.8-3.2
2016-03-20 11:18:53 status half-installed libpam-modules-bin:armhf 1.1.8-3.2
2016-03-20 11:18:53 status unpacked libpam-modules-bin:armhf 1.1.8-3.2
2016-03-20 11:18:53 status unpacked libpam-modules-bin:armhf 1.1.8-3.2
2016-03-20 11:18:54 install libpam-runtime:all <none> 1.1.8-3.2
2016-03-20 11:18:54 status half-installed libpam-runtime:all 1.1.8-3.2
2016-03-20 11:18:54 status unpacked libpam-runtime:all 1.1.8-3.2
2016-03-20 11:18:54 status unpacked libpam-runtime:all 1.1.8-3.2
